,긍정단어,실제 소비자평(긍정),긍정단어 수,부정단어,실제 소비자평(부정),부정단어 수
0,사이즈,0,9869,사이즈,0,561
1,허리,0,6495,생각,0,535
2,구매,0,5604,허리,0,517
3,생각,0,5591,바지,0,340
4,바지,0,5494,그냥,0,311
5,길이,0,5455,무릎,0,264
6,두께,0,4047,길이,0,261
7,가성,0,3963,가격,0,198
8,가격,0,3949,기장,0,195
9,재질,0,3577,느낌,0,194
10,조금,0,3491,조금,-1,192
11,기장,0,3434,무난,1,183
12,아주,1,2766,구매,0,156
13,무난,1,2723,재질,0,154
14,진짜,1,2688,별로,-1,134
15,겨울,0,2672,두께,0,120
16,마음,0,2532,커서,0,114
17,팬츠,0,2371,크게,0,112
18,다드,0,2303,정도,0,106
19,살짝,0,2234,부분,0,103
20,정말,1,2221,가성,0,102
21,추천,1,2152,진짜,0,101
22,무탠,0,2112,약간,-1,101
23,무릎,0,2107,살짝,-1,87
24,색상,0,2072,추천,1,87
25,역시,1,1927,겨울,0,85
26,느낌,0,1858,팬츠,0,79
27,자주,1,1853,발사,0,77
28,하나,0,1705,다리,0,76
29,다른,1,1615,허벅지,0,74
30,정도,0,1582,색상,0,74
31,그냥,0,1514,배송,0,72
32,완전,1,1513,엉덩이,0,71
33,최고,1,1465,편이,0,65
34,배송,0,1456,다른,0,64
35,제품,0,1415,제품,0,64
36,색감,0,1386,보리,0,64
37,크게,0,1367,발목,0,61
38,대비,0,1305,원단,0,60
39,색도,0,1303,여름,0,60
40,약간,0,1270,대비,0,59
41,커서,0,1268,마음,0,58
42,회색,0,1262,밑위,0,57
43,기모,0,1221,세탁,0,55
44,원단,0,1202,한번,0,55
45,그레이,0,1193,고무줄,0,53
46,스탠다드,0,1172,그레이,0,50
47,여름,0,1160,전체,0,49
48,와이드,0,1145,색깔,0,49
49,블랙,0,1144,조거,0,49
50,주문,0,1108,교환,-1,48
51,기본,1,1104,소재,0,48
52,만족,1,1069,와이드,0,48
53,별로,-1,1027,색감,0,47
54,지금,0,1009,주문,0,47
55,색깔,0,947,처음,0,45
56,사고,0,921,사진,0,45
57,허벅지,0,911,아주,1,45
58,스웨,0,888,자체,0,44
59,구입,0,884,다드,0,42
60,다리,0,868,정말,1,40
61,가을,0,852,하나,0,40
62,조거,0,846,밑단,0,40
63,퀄리티,0,827,기모,0,39
64,듭니,0,826,스탠다드,0,39
65,소재,0,822,상품,0,39
66,고민,0,809,치수,0,38
67,운동,0,804,스타일,0,38
68,요즘,0,799,보고,0,37
69,편이,0,775,무탠,0,37
70,부분,0,758,가을,0,36
71,일리,0,690,블랙,0,36
72,걱정,0,681,평소,0,35
73,선물,0,662,퀄리티,0,35
74,상품,0,650,자주,0,35
75,처음,0,634,보풀,-1,34
76,발목,0,618,반품,-1,33
77,매우,1,610,완전,0,33
78,다음,0,607,주머니,0,33
79,질도,0,602,밴딩,0,32
80,날씨,0,584,후기,0,32
81,착용,0,580,일단,0,31
82,품질,0,566,회색,0,31
83,발사,0,556,운동,0,31
84,츄리닝,0,556,참고,0,30
85,디자인,0,556,여자,0,30
86,평소,1,551,구입,0,30
87,사서,0,551,보통,0,30
88,스타일,0,538,츄리닝,0,30
89,다만,-1,535,이건,0,29
90,검정색,0,523,먼지,-1,29
91,예정,0,507,뭔가,-1,29
92,굿굿,1,500,수선,0,29
93,여유,1,499,다시,0,28
94,사진,0,497,기본,0,28
95,검은색,0,479,다음,0,27
96,무탠다드,0,476,디자인,0,27
97,세탁,0,473,종아리,0,27
98,검정,0,471,건조기,0,27
99,모두,0,470,고민,0,26
100,널널,1,457,루즈,0,26
101,트레이닝,0,454,다만,0,26
102,보리,0,454,이즈,0,25
103,매일,1,452,신축,0,25
104,어디,0,451,라지,0,25
105,스웻,0,448,역시,1,25
106,한번,0,444,만족,1,25
107,라지,0,442,달라,-1,24
108,전체,0,442,무거워,-1,24
109,컬러,0,438,실망,-1,23
110,한겨울,0,427,조여,-1,23
111,이즈,0,426,착용,0,23
112,고무줄,0,424,사고,0,23
113,일단,0,414,스웨,0,22
114,치수,0,411,때문,0,22
115,이번,0,410,조절,0,22
116,그대로,0,402,지금,0,21
117,건조기,0,401,트레이닝,0,21
118,버핏,0,401,사서,0,21
119,정사,0,399,체형,0,21
120,엉덩이,0,388,매우,1,21
121,항상,1,385,실용,1,20
122,교복,0,373,일리,0,20
123,보고,0,373,거의,0,20
124,입다,0,363,몇번,0,20
125,신발,0,362,품질,0,20
