,단어,수
0,사이즈,561
1,생각,535
2,허리,517
3,바지,340
4,그냥,311
5,무릎,264
6,길이,261
7,가격,198
8,기장,195
9,느낌,194
10,조금,192
11,무난,183
12,구매,156
13,재질,154
14,별로,134
15,두께,120
16,커서,114
17,크게,112
18,정도,106
19,부분,103
20,가성,102
21,진짜,101
22,약간,101
23,살짝,87
24,추천,87
25,겨울,85
26,팬츠,79
27,발사,77
28,다리,76
29,허벅지,74
30,색상,74
31,배송,72
32,엉덩이,71
33,편이,65
34,다른,64
35,제품,64
36,보리,64
37,발목,61
38,원단,60
39,여름,60
40,대비,59
41,마음,58
42,밑위,57
43,세탁,55
44,한번,55
45,고무줄,53
46,그레이,50
47,전체,49
48,색깔,49
49,조거,49
50,교환,48
51,소재,48
52,와이드,48
53,색감,47
54,주문,47
55,처음,45
56,사진,45
57,아주,45
58,자체,44
59,다드,42
60,정말,40
61,하나,40
62,밑단,40
63,기모,39
64,스탠다드,39
65,상품,39
66,치수,38
67,스타일,38
68,보고,37
69,무탠,37
70,가을,36
71,블랙,36
72,평소,35
73,퀄리티,35
74,자주,35
75,보풀,34
76,반품,33
77,완전,33
78,주머니,33
79,밴딩,32
80,후기,32
81,일단,31
82,회색,31
83,운동,31
84,참고,30
85,여자,30
86,구입,30
87,보통,30
88,츄리닝,30
89,이건,29
90,먼지,29
91,뭔가,29
92,수선,29
93,다시,28
94,기본,28
95,다음,27
96,디자인,27
97,종아리,27
98,건조기,27
99,고민,26
100,루즈,26
101,다만,26
102,이즈,25
103,신축,25
104,라지,25
105,역시,25
106,만족,25
107,달라,24
108,무거워,24
109,실망,23
110,조여,23
111,착용,23
112,사고,23
113,스웨,22
114,때문,22
115,조절,22
116,지금,21
117,트레이닝,21
118,사서,21
119,체형,21
120,매우,21
121,실용,20
122,일리,20
123,거의,20
124,몇번,20
125,품질,20
126,요즘,20
127,밴드,20
128,사람,20
129,금방,19
130,일자,19
131,하체,19
132,하루,19
133,확인,18
134,정사,18
135,이상,18
136,사면,18
137,바스락,18
138,헤비,18
139,다운,18
140,기네,17
141,전투,17
142,잘못,17
143,듭니,17
144,당황,17
145,검정,17
146,좀더,17
147,기준,17
148,잠옷,17
149,최고,16
150,브랜드,16
151,색도,16
152,신분,16
153,해도,16
154,문제,16
155,차이,16
156,라인,15
157,환불,15
158,여유,15
159,걱정,15
160,만큼,15
161,검정색,15
162,어디,15
163,스몰,15
164,멜란지,15
165,대충,14
166,집앞,14
167,추리,14
168,핏감,14
169,미스,14
170,원래,14
171,한겨울,14
172,그대로,14
173,조이,13
174,두툼해,13
175,계속,13
176,불량,13
177,질도,13
178,무게,13
179,나름,13
180,웨이,13
181,거리,13
182,감안,13
183,활동,13
184,동네,13
185,벌써,13
186,살걸,13
187,편의점,12
188,입다,12
189,아쉬움,12
190,나머지,12
191,남자,12
192,전혀,12
193,절대,12
194,모델,12
195,트레이닝복,12
196,안쪽,12
197,컬러,12
198,외출,12
199,남성,12
200,잠깐,12
201,개인,12
202,골반,12
203,그거,12
204,하비,12
205,버핏,11
206,입지,11
207,그것,11
208,에드,11
209,보임,11
210,무탠다드,11
211,선택,11
212,이번,11
213,사실,11
214,널널,11
215,스펙,11
216,크기,11
217,타이,11
218,용도,11
219,코디,11
220,비닐,11
221,기분,11
222,흐물흐물,11
223,후드,11
224,등산,11
225,런가,11
226,오버,10
227,선물,10
228,심해,10
229,용이,10
230,날씨,10
231,바로,10
232,질감,10
233,무조건,10
234,삿는데,10
235,옷감,10
236,최악,10
237,기대,10
238,기도,10
239,주름,10
240,나팔,10
241,드네,10
242,자꾸,10
243,부각,10
244,아예,10
245,일자핏,10
246,아래,10
247,후회,10
248,그닥,10
249,작고,9
250,수축,9
251,나일론,9
252,스웻,9
253,자마자,9
254,보기,9
255,확정,9
256,만원,9
257,만해,9
258,고정,9
259,검은색,9
260,오른쪽,9
261,편입,9
262,의사,9
263,예상,9
264,물건,9
265,그게,9
266,흰색,9
267,줄줄,9
268,불편,9
269,사도,9
270,제일,9
271,일부러,9
272,문의,8
273,모두,8
274,소리,8
275,발등,8
276,가랑이,8
277,마감,8
278,필수,8
279,복숭아,8
280,성은,8
281,수준,8
282,초겨울,8
283,슬랙스,8
284,아빠,8
285,신경,8
286,후리,8
287,실패,8
288,엑스,8
289,이제,8
290,한철,8
291,싼마이,8
292,항상,8
293,한텐,8
294,인지,7
295,이면,7
296,왼쪽,7
297,친구,7
298,저번,7
299,바람,7
300,비만,7
301,여성,7
302,사려,7
303,전부,7
304,기능,7
305,살이,7
